character_id,name,description,thumbnail,modified
1011334,3-D Man,,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,2014-04-29T14:18:17-0400
1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction!",http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,2013-09-18T15:54:04-0400
1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,2013-10-17T14:41:30-0400
1010699,Aaron Stack,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,2014-06-27T19:39:07-0400
1016823,Abomination (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2012-07-10T19:11:52-0400
1009148,Absorbing Man,,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg,2016-05-25T12:04:23-0400
1009149,Abyss,,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg,2014-04-29T14:10:43-0400
1010903,Abyss (Age of Apocalypse),,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg,1969-12-31T19:00:00-0500
1011266,Adam Destine,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1010354,Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg,2016-05-05T15:34:56-0400
1010846,Aegis (Trey Rollins),,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif,1969-12-31T19:00:00-0500
1017851,Aero (Aero),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2021-08-27T17:52:34-0400
1012717,Agatha Harkness,,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg,2021-08-06T11:30:56-0400
1011297,Agent Brand,,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg,2013-10-24T13:09:30-0400
1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1009150,Agent Zero,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg,1969-12-31T19:00:00-0500
1011198,Agents of Atlas,,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,2016-02-03T10:25:22-0500
1011175,Aginar,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1011136,Air-Walker (Gabriel Lan),,http://i.annihil.us/u/prod/marvel/i/mg/a/c0/66f2d68d99dc8.jpg,2024-09-24T11:11:31-0400
1011176,Ajak,,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg,1969-12-31T19:00:00-0500
1010870,Ajaxis,,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg,1969-12-31T19:00:00-0500
1011194,Akemi,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1011170,Alain,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1009240,Albert Cleary,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1011120,Albion,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1010836,Alex Power,,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg,2011-10-27T09:57:58-0400
1010755,Alex Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.",http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg,1969-12-31T19:00:00-0500
1011214,Alexa Mendez,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1009497,Alexander Pierce,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1969-12-31T19:00:00-0500
1014990,Alice,,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg,2010-11-18T16:01:44-0500
