character_id,event_name,event_resourceURI
1011334,Secret Invasion,http://gateway.marvel.com/v1/public/events/269
1009146,Chaos War,http://gateway.marvel.com/v1/public/events/296
1009148,Acts of Vengeance!,http://gateway.marvel.com/v1/public/events/116
1009148,Civil War,http://gateway.marvel.com/v1/public/events/238
1009148,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1009148,Secret Wars,http://gateway.marvel.com/v1/public/events/270
1009148,Siege,http://gateway.marvel.com/v1/public/events/273
1009149,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1010903,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1010354,Annihilation: Conquest,http://gateway.marvel.com/v1/public/events/293
1010354,Atlantis Attacks,http://gateway.marvel.com/v1/public/events/233
1010354,Blood and Thunder,http://gateway.marvel.com/v1/public/events/235
1010354,Days of Future Present,http://gateway.marvel.com/v1/public/events/240
1010354,Infinity War,http://gateway.marvel.com/v1/public/events/29
1010354,Mutant Massacre,http://gateway.marvel.com/v1/public/events/263
1010354,Secret Wars II,http://gateway.marvel.com/v1/public/events/271
1010354,X-Tinction Agenda,http://gateway.marvel.com/v1/public/events/280
1011198,Dark Reign,http://gateway.marvel.com/v1/public/events/318
1011136,Annihilation,http://gateway.marvel.com/v1/public/events/229
1011176,Secret Invasion,http://gateway.marvel.com/v1/public/events/269
1009435,Acts of Vengeance!,http://gateway.marvel.com/v1/public/events/116
1009435,Inferno,http://gateway.marvel.com/v1/public/events/252
1010370,Acts of Vengeance!,http://gateway.marvel.com/v1/public/events/116
1010370,Chaos War,http://gateway.marvel.com/v1/public/events/296
1010370,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1010370,Infinity War,http://gateway.marvel.com/v1/public/events/29
1010370,Monsters Unleashed,http://gateway.marvel.com/v1/public/events/337
1010370,Original Sin,http://gateway.marvel.com/v1/public/events/319
1010370,Secret Wars II,http://gateway.marvel.com/v1/public/events/271
1011227,Dark Reign,http://gateway.marvel.com/v1/public/events/318
1011227,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1011227,Secret Empire,http://gateway.marvel.com/v1/public/events/336
1011227,Secret Invasion,http://gateway.marvel.com/v1/public/events/269
1011227,Siege,http://gateway.marvel.com/v1/public/events/273
1009151,Secret Wars,http://gateway.marvel.com/v1/public/events/270
1009152,Acts of Vengeance!,http://gateway.marvel.com/v1/public/events/116
1009152,Infinity War,http://gateway.marvel.com/v1/public/events/29
1009153,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1009153,Dark Reign,http://gateway.marvel.com/v1/public/events/318
1009153,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1009153,X-Men: Battle of the Atom,http://gateway.marvel.com/v1/public/events/316
1009153,X-Men: Schism,http://gateway.marvel.com/v1/public/events/306
1017574,Original Sin,http://gateway.marvel.com/v1/public/events/319
1009154,Annihilation,http://gateway.marvel.com/v1/public/events/229
1010802,Dark Reign,http://gateway.marvel.com/v1/public/events/318
1010802,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1010802,Original Sin,http://gateway.marvel.com/v1/public/events/319
1010802,Secret Invasion,http://gateway.marvel.com/v1/public/events/269
1010802,Shattered Heroes,http://gateway.marvel.com/v1/public/events/309
1010802,Siege,http://gateway.marvel.com/v1/public/events/273
1010802,World War Hulk,http://gateway.marvel.com/v1/public/events/277
1009155,Age of Ultron,http://gateway.marvel.com/v1/public/events/314
1009155,Infinity,http://gateway.marvel.com/v1/public/events/315
1010801,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1010801,Secret Empire,http://gateway.marvel.com/v1/public/events/336
1011208,Initiative,http://gateway.marvel.com/v1/public/events/255
1009156,Acts of Vengeance!,http://gateway.marvel.com/v1/public/events/116
1009156,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1009156,Evolutionary War,http://gateway.marvel.com/v1/public/events/246
1009156,Fall of the Mutants,http://gateway.marvel.com/v1/public/events/248
1009156,Messiah War,http://gateway.marvel.com/v1/public/events/298
1009156,Onslaught,http://gateway.marvel.com/v1/public/events/154
1010773,Spider-Island,http://gateway.marvel.com/v1/public/events/305
1009158,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1009158,Age of X,http://gateway.marvel.com/v1/public/events/303
1009159,Acts of Vengeance!,http://gateway.marvel.com/v1/public/events/116
1009159,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1009159,Atlantis Attacks,http://gateway.marvel.com/v1/public/events/233
1009159,Days of Future Present,http://gateway.marvel.com/v1/public/events/240
1009159,Evolutionary War,http://gateway.marvel.com/v1/public/events/246
1009159,Fall of the Mutants,http://gateway.marvel.com/v1/public/events/248
1009159,Fatal Attractions,http://gateway.marvel.com/v1/public/events/249
1009159,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1009159,Inferno,http://gateway.marvel.com/v1/public/events/252
1009159,Infinity War,http://gateway.marvel.com/v1/public/events/29
1009159,Inhumans Vs. X-Men,http://gateway.marvel.com/v1/public/events/334
1009159,Kings of Pain,http://gateway.marvel.com/v1/public/events/32
1009159,Messiah CompleX,http://gateway.marvel.com/v1/public/events/299
1009159,Messiah War,http://gateway.marvel.com/v1/public/events/298
1009159,Mutant Massacre,http://gateway.marvel.com/v1/public/events/263
1009159,Onslaught,http://gateway.marvel.com/v1/public/events/154
1009159,World War Hulk,http://gateway.marvel.com/v1/public/events/277
1009159,X-Men: Regenesis,http://gateway.marvel.com/v1/public/events/308
1009159,X-Tinction Agenda,http://gateway.marvel.com/v1/public/events/280
1009160,Inferno,http://gateway.marvel.com/v1/public/events/252
1009160,Mutant Massacre,http://gateway.marvel.com/v1/public/events/263
1009160,Onslaught,http://gateway.marvel.com/v1/public/events/154
1010784,Chaos War,http://gateway.marvel.com/v1/public/events/296
1010784,Dark Reign,http://gateway.marvel.com/v1/public/events/318
1010784,Initiative,http://gateway.marvel.com/v1/public/events/255
1010784,Secret Empire,http://gateway.marvel.com/v1/public/events/336
1010784,Secret Invasion,http://gateway.marvel.com/v1/public/events/269
1010827,Secret Invasion,http://gateway.marvel.com/v1/public/events/269
1009740,Axis,http://gateway.marvel.com/v1/public/events/320
1009740,Civil War,http://gateway.marvel.com/v1/public/events/238
1011758,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1009163,Age of Apocalypse,http://gateway.marvel.com/v1/public/events/227
1009163,Chaos War,http://gateway.marvel.com/v1/public/events/296
1009163,Fear Itself,http://gateway.marvel.com/v1/public/events/302
1009163,Infinity War,http://gateway.marvel.com/v1/public/events/29
1009164,Age of X,http://gateway.marvel.com/v1/public/events/303
1009164,Dark Reign,http://gateway.marvel.com/v1/public/events/318
1009164,Evolutionary War,http://gateway.marvel.com/v1/public/events/246
